11100028,가톨릭대학교여의도성모병원,상급종합,02-3779-1114,(150713),서울특별시 영등포구 63로 10,1,1
11100036,인제대학부속백병원,종합병원,02-2270-0114,(100032),서울특별시 중구 마른내로 9,2,1
11100052,중앙대학교병원,상급종합,02-6299-1114,(156755),서울특별시 동작구 흑석로 102,1,1
11100079,서울대학교병원,상급종합,02-2072-2114,(110744),서울특별시 종로구 대학로 101,1,1
11100095,삼성의료재단강북삼성병원,상급종합,02-2001-2001,(110746),서울특별시 종로구 새문안로 29,2,1
11100109,서울적십자병원,종합병원,02-2002-8000,(110747),서울특별시 종로구 새문안로 9,1,2
11100117,고려대의과대학부속병원,상급종합,02-920-5114,(136705),서울특별시 성북구 인촌로 73,1,1
11100133,서울특별시동부병원,종합병원,02-920-9114,(130707),서울특별시 동대문구 무학로 124,2,2
11100141,삼육서울병원,종합병원,02-2210-3333,(130711),서울특별시 동대문구 망우로 82,2,2
11100150,가톨릭대학교성바오로병원,종합병원,02-958-2114,(130709),서울특별시 동대문구 왕산로 180,3,1
11100168,경희대학교병원,상급종합,02-958-8114,(130872),서울특별시 동대문구 경희대로 23,2,1
11100176,국립경찰병원,종합병원,02-3400-1120,(138708),서울특별시 송파구 송이로 123,1,1
11100184,한양대학교병원,상급종합,02-2290-8114,(133791),서울특별시 성동구 왕십리로 222,3,1
11100206,연세대학교의과대학세브란스병원,상급종합,02-1599-1004,(120749),서울특별시 서대문구 연세로 50,1,1
11100222,순천향대학교서울병원,상급종합,02-709-9114,(140743),서울특별시 용산구 대사관로 59,1,1
11100231,한국보훈복지의료공단중앙보훈병원,종합병원,02-2225-1111,(134791),서울특별시 강동구 진황도로61길 53,1,1
11100249,서울특별시보라매병원,종합병원,02-870-2114,(156849),서울특별시 동작구 보라매로5길 20,1,1
11100257,한림대부속한강성심병원,종합병원,02-2639-5114,(150719),서울특별시 영등포구 버드나루로7길 12,2,1
11100303,한림대학교강남성심병원,종합병원,02-829-5114,(150950),서울특별시 영등포구 신길로 1,1,1
11100338,가톨릭대학교서울성모병원,상급종합,02-1588-1511,(137040),서울특별시 서초구 반포대로 222,1,1
11100362,제일의료재단제일병원,종합병원,02-2000-7000,(100380),서울특별시 중구 서애로1길 17,1,1
11100397,의료법인성애병원,종합병원,02-840-7114,(150960),서울특별시 영등포구 여의대방로53길 22,2,2
11100435,건국대학교병원,상급종합,02-1588-1533,(143914),서울특별시 광진구 능동로 120-1,2,1
11100443,연세대학교의과대학강남세브란스병원,상급종합,02-2019-2114,(135720),서울특별시 강남구 언주로 211,1,1
11100494,고려대의과대학부속구로병원,상급종합,02-2626-1114,(152703),서울특별시 구로구 구로동로 148,1,1
11100699,대림성모병원,종합병원,02-829-9000,(150822),서울특별시 영등포구 시흥대로 657,1,2
11100711,의료법인청구성심병원,종합병원,02-385-5511-9,(122712),서울특별시 은평구 통일로 873,3,2
11100729,강동성심병원,종합병원,02-2224-2114,(134701),서울특별시 강동구 성안로 150,2,1
11100753,소화아동병원,종합병원,02-705-9000,(140829),서울특별시 용산구 청파로 383,3,2
11100761,혜민병원,종합병원,02-453-3131-7,(143867),서울특별시 광진구 자양로 85,2,2
11100800,서울아산병원,상급종합,02-3010-3114,(138736),서울특별시 송파구 올림픽로43길 88,1,1
11100818,인제대부속상계백병원,상급종합,02-950-1114,(139707),서울특별시 노원구 동일로 1342,2,1
11100842,성광의료재단차병원,종합병원,02-3468-3000,(135913),서울특별시 강남구 논현로 566,2,2
11100893,명지성모병원,종합병원,02-829-7777,(150814),서울특별시 영등포구 도림로 156,1,2
11100907,서울성심병원,종합병원,02-966-1616,(130867),서울특별시 동대문구 왕산로 259,1,2
11100915,이화여대부속목동병원,상급종합,02-2650-5114,(158710),서울특별시 양천구 안양천로 1071,1,1
11100923,홍익병원,종합병원,02-2693-5555,(158738),서울특별시 양천구 목동로 225,2,2
11100958,(사)삼성생명공익재단삼성서울병원,상급종합,02-3410-2114,(135710),서울특별시 강남구 일원로 81,1,1
11100982,의료법인동신의료재단동신병원,종합병원,02-396-9161,(120848),서울특별시 서대문구 연희로 272,3,3
11100991,의료법인희명병원,종합병원,02-804-0002,(153857),서울특별시 금천구 시흥대로 244,2,4
11101016,의료법인을지병원,종합병원,02-970-8000,(139711),서울특별시 노원구 한글비석로 68,3,1
11101059,세란병원,종합병원,02-737-0181,(110080),서울특별시 종로구 통일로 256,1,3
11101075,강남고려병원,종합병원,02-874-8001,(151050),서울특별시 관악구 관악로 242,2,2
11101156,의료법인성화의료재단대한병원,종합병원,02-903-3231,(142070),서울특별시 강북구 도봉로 301,1,3
11101181,미즈메디병원,종합병원,02-2007-1000,(157723),서울특별시 강서구 강서로 295,2,1
11101199,의료법인한전의료재단한전병원,종합병원,02-901-3114,(132703),서울특별시 도봉구 우이천로 308,3,2
11101202,구로성심병원,종합병원,02-2067-1500,(152826),서울특별시 구로구 경인로 427,2,2
